team1,team2,winner,margin,match_id,MatchDay
RCB,Punjab Kings,RCB,24 runs,T209410,20-4-23
Super Giants,Royals,Super Giants,10 runs,T205539,19-4-23
Mumbai,Sunrisers,Mumbai,14 runs,T203831,18-4-23
Super Kings,RCB,Super Kings,8 runs,T206232,17-4-23
Titans,Royals,Royals,3 wickets,T204210,16-4-23
KKR,Mumbai,Mumbai,5 wickets,T202897,16-4-23
Super Giants,Punjab Kings,Punjab Kings,2 wickets,T203424,15-4-23
RCB,Capitals,RCB,23 runs,T208157,15-4-23
Sunrisers,KKR,Sunrisers,23 runs,T209839,14-4-23
Punjab Kings,Titans,Titans,6 wickets,T206541,13-4-23
Royals,Super Kings,Royals,3 runs,T201215,12-4-23
Capitals,Mumbai,Mumbai,6 wickets,T207664,11-4-23
RCB,Super Giants,Super Giants,1 wicket,T202162,10-4-23
Punjab Kings,Sunrisers,Sunrisers,8 wickets,T206444,9-4-23
Titans,KKR,KKR,3 wickets,T208626,9-4-23
Mumbai,Super Kings,Super Kings,7 wickets,T206408,8-4-23
Royals,Capitals,Royals,57 runs,T207547,8-4-23
Sunrisers,Super Giants,Super Giants,5 wickets,T209590,7-4-23
KKR,RCB,KKR,81 runs,T207668,6-4-23
Punjab Kings,Royals,Punjab Kings,5 runs,T201031,5-4-23
Capitals,Titans,Titans,6 wickets,T205026,4-4-23
Super Kings,Super Giants,Super Kings,12 runs,T202790,3-4-23
Mumbai,RCB,RCB,8 wickets,T202485,2-4-23
Royals,Sunrisers,Royals,72 runs,T209117,2-4-23
Super Giants,Capitals,Super Giants,50 runs,T208512,1-4-23
Punjab Kings,KKR,Punjab Kings,7 runs,T202853,1-4-23
Super Kings,Titans,Titans,5 wickets,T201566,31-3-23
